21st Century Charter ‐ Gary,A,A,A,XXX,XXX,XXX,A,A
Adams Central,2A,2A,2A,A,XXX,XXX,2A,2A,
Alexandria,2A,2A,2A,2A,XXX,XXX,2A,2A,
Anderson,4A,4A,4A,5A,3A,3A,4A,4A,
Anderson Preparatory Academy,A,A,A,A,A,XXX,A,A,
Andrean,4A,2A,2A,2A,A,2A,2A,2A,
Angola,3A,3A,3A,4A,2A,2A,3A,3A,
Argos,A,A,A,XXX,A,A,A,A,
Attica,A,A,A,A,XXX,XXX,A,A,
Austin,2A,2A,2A,XXX,A,XXX,2A,2A,
Avon,4A,4A,4A,6A,3A,3A,4A,4A,
Barr‐Reeve,A,2A,A,XXX,XXX,XXX,A,2A,
Batesville,3A,3A,3A,3A,2A,2A,3A,3A,
Bedford North Lawrence,4A,4A,4A,5A,3A,3A,4A,4A,
Beech Grove,3A,3A,3A,4A,2A,2A,3A,3A,
Bellmont,3A,3A,3A,3A,2A,2A,3A,3A,
Ben Davis,4A,4A,4A,6A,3A,3A,4A,4A,
Benton Central,3A,3A,3A,3A,2A,2A,3A,3A,
Bethany Christian,A,A,A,XXX,A,A,A,A,
Bethesda Christian,A,A,A,XXX,A,XXX,A,A,
Blackford,2A,2A,2A,2A,2A,A,2A,2A,
Bloomfield,A,A,A,XXX,XXX,XXX,A,A,
Bloomington North,4A,4A,4A,5A,3A,3A,4A,4A,
Bloomington South,4A,4A,4A,5A,3A,3A,4A,4A,
Blue River Valley,A,A,A,XXX,XXX,XXX,A,A,
Bluffton,2A,2A,2A,2A,XXX,XXX,2A,2A,
Boone Grove,2A,2A,2A,2A,2A,A,2A,2A,
Boonville,3A,3A,3A,4A,2A,2A,3A,3A,
Borden,A,A,A,XXX,XXX,XXX,A,A,
Bowman Academy,2A,2A,2A,2A,XXX,XXX,2A,2A,
Brebeuf Jesuit,3A,3A,3A,3A,3A,3A,3A,4A,
Bremen,2A,2A,2A,2A,2A,A,3A,2A,
Brown County,3A,3A,3A,3A,2A,2A,3A,3A,
Brownsburg,4A,4A,4A,6A,3A,3A,4A,4A,
Brownstown Central,3A,3A,3A,3A,XXX,XXX,3A,3A,
Calumet,3A,3A,3A,3A,XXX,XXX,3A,3A,
Cambridge City Lincoln,A,2A,A,A,XXX,XXX,A,A,
Cannelton,A,A,A,XXX,XXX,XXX,A,A,
Carmel,4A,4A,4A,6A,3A,3A,4A,4A,
Carroll (Flora),2A,2A,2A,A,A,XXX,A,2A,
Carroll (Fort Wayne),4A,4A,4A,6A,3A,3A,4A,4A,
Cascade,2A,2A,2A,2A,A,A,2A,2A,
Cass,2A,2A,2A,2A,XXX,XXX,2A,2A,
Castle,4A,4A,4A,5A,3A,3A,4A,4A,
Caston,A,A,A,A,A,XXX,A,A,
Center Grove,4A,4A,4A,6A,3A,3A,4A,4A,
Centerville,2A,2A,2A,2A,A,A,2A,2A,
Central Christian Academy,A,A,A,XXX,A,XXX,A,A,
Central Noble,2A,3A,3A,2A,A,A,2A,2A,
Charlestown,3A,3A,3A,3A,2A,2A,3A,3A,
Chesterton,4A,4A,4A,6A,3A,3A,4A,4A,
Christel House Academy,A,XXX,A,XXX,A,XXX,XXX,A,
Christian Academy of Indiana,A,A,A,XXX,A,A,A,3A,
Churubusco,2A,2A,2A,A,XXX,XXX,2A,2A,
Clarksville,2A,2A,2A,2A,XXX,XXX,2A,2A,
Clay City,A,A,A,XXX,XXX,XXX,A,A,
Clinton Central,A,A,A,A,XXX,XXX,A,A,
Clinton Prairie,2A,2A,2A,A,XXX,XXX,2A,2A,
Cloverdale,2A,2A,2A,A,XXX,XXX,2A,2A,
Columbia City,4A,4A,4A,4A,3A,2A,4A,4A,
Columbus East,4A,4A,4A,6A,3A,3A,4A,4A,
Columbus North,4A,4A,4A,6A,3A,3A,4A,4A,
Concord,4A,4A,4A,5A,3A,3A,4A,4A,
Connersville,3A,3A,3A,4A,3A,2A,3A,3A,
Corydon Central,3A,3A,3A,3A,2A,2A,3A,3A,
Covenant Christian (DeMotte),A,A,A,XXX,A,A,A,A,
Covenant Christian (Indianapolis),2A,2A,2A,A,2A,A,2A,2A,
Covington,A,A,A,A,A,XXX,A,2A,
Cowan,A,A,A,XXX,XXX,XXX,A,A,
Crawford County,2A,2A,2A,2A,XXX,XXX,2A,2A,
Crawfordsville,3A,3A,3A,3A,2A,2A,3A,3A,
Crothersville,A,A,A,XXX,XXX,XXX,A,A,
Crown Point,4A,4A,4A,6A,3A,3A,4A,4A,
Culver Academies,3A,4A,3A,4A,2A,2A,3A,3A,
Culver Community,A,A,A,A,A,A,A,A,
Daleville,A,A,A,XXX,A,A,A,A,
Danville,3A,3A,3A,3A,2A,2A,3A,3A,
Decatur Central,4A,4A,4A,5A,3A,3A,4A,4A,
DeKalb,4A,4A,4A,4A,3A,2A,4A,4A,
Delphi Community,2A,2A,2A,2A,A,A,2A,2A,
Delta,3A,3A,3A,4A,2A,2A,3A,3A,
Dugger Union (Eligible in 2022‐23),XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX, 
East Central,4A,4A,4A,4A,3A,3A,4A,4A,
East Chicago Central,4A,4A,4A,4A,3A,3A,4A,4A,
East Noble,4A,4A,4A,4A,3A,3A,4A,4A,
Eastbrook,2A,2A,2A,2A,2A,A,2A,2A,
Eastern (Greentown),2A,3A,2A,2A,2A,A,2A,2A,
Eastern (Pekin),2A,2A,2A,2A,XXX,XXX,2A,2A,
Eastern Greene,2A,2A,2A,A,XXX,XXX,2A,2A,
Eastern Hancock,2A,2A,2A,2A,XXX,XXX,2A,2A,
Eastside,2A,2A,2A,2A,A,XXX,2A,2A,
Edgewood,3A,3A,3A,3A,2A,2A,3A,3A,
Edinburgh,A,A,A,A,XXX,XXX,A,A,
Elkhart Central,4A,4A,4A,5A,3A,3A,4A,4A,
Elkhart Christian,A,A,A,XXX,A,A,A,A,
Elkhart Memorial,4A,4A,4A,5A,3A,3A,4A,4A,
Elwood,2A,2A,2A,2A,XXX,XXX,2A,2A,
Eminence,A,A,A,XXX,XXX,XXX,A,A,
Evansville Bosse,3A,3A,3A,3A,2A,2A,3A,3A,
Evansville Central,4A,4A,4A,4A,3A,3A,4A,4A,
Evansville Christian (Eligible in 2022‐23),XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,
Evansville Day,A,A,A,XXX,A,A,A,A,
Evansville F.J. Reitz,4A,4A,4A,4A,3A,3A,4A,4A,
Evansville Harrison,4A,4A,4A,4A,3A,3A,4A,4A,
Evansville Mater Dei,2A,2A,2A,2A,2A,2A,2A,2A,
Evansville North,4A,4A,4A,5A,3A,3A,4A,4A,
Evansville Reitz Memorial,3A,3A,3A,4A,2A,3A,3A,3A,
Fairfield,2A,2A,2A,2A,XXX,XXX,2A,2A,
Faith Christian,A,A,A,XXX,A,A,A,A,
Fishers,4A,4A,4A,6A,3A,3A,4A,4A,
Floyd Central,4A,4A,4A,5A,3A,3A,4A,4A,
Forest Park,2A,2A,2A,2A,A,A,2A,2A,
Fort Wayne Bishop Dwenger,3A,3A,3A,5A,2A,2A,3A,3A,
Fort Wayne Bishop Luers,3A,3A,3A,2A,2A,A,2A,3A,
Fort Wayne Blackhawk Christian,A,2A,A,XXX,A,A,A,A,
Fort Wayne Canterbury,A,2A,3A,XXX,2A,A,A,2A,
Fort Wayne Concordia Lutheran,3A,3A,3A,3A,2A,2A,3A,3A,
Fort Wayne North Side,4A,4A,4A,5A,3A,3A,4A,4A,
Fort Wayne Northrop,4A,4A,4A,5A,3A,3A,4A,4A,
Fort Wayne Snider,4A,4A,4A,6A,3A,3A,4A,4A,
Fort Wayne South Side,4A,4A,4A,4A,3A,3A,4A,4A,
Fort Wayne Wayne,4A,4A,4A,4A,3A,3A,4A,4A,
Fountain Central,2A,2A,2A,A,XXX,XXX,A,2A,
Frankfort,3A,3A,3A,4A,2A,2A,3A,3A,
